Date,Merchant,Category,Account,Original Statement,Notes,Amount,Tags
2024-10-31,11th and Smallman Lot Pittsburgh Pa,Groceries,Fidelity Rewards Visa *4913,11th and Smallman Lot Pittsburgh Pa,,-5.00,
2024-10-31,Chick-Fil-A,Restaurants & Bars,Fidelity Rewards Visa *4913,Chick-fil-A,,-44.44,
2024-10-31,Sienna Mercato D Downtown Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Sienna Mercato D Downtown Pa,,-21.62,
2024-10-30,11th and Smallman Lot Pittsburgh Pa,Groceries,Fidelity Rewards Visa *4913,11th and Smallman Lot Pittsburgh Pa,,-12.00,
2024-10-30,Convention Garage Pittsburgh Pa,Parking & Tolls,Fidelity Rewards Visa *4913,Convention Garage Pittsburgh Pa,,-15.00,
2024-10-29,Condado Tacos S Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Condado Tacos S Pittsburgh Pa,,-103.45,
2024-10-29,Old Navy,Clothing,Fidelity Rewards Visa *4913,Old Navy,,-50.44,
2024-10-29,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-46.72,
2024-10-29,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-9.99,
2024-10-29,Ppap Mellon Garage Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Ppap Mellon Garage Pittsburgh Pa,,-12.00,
2024-10-28,Apple,Entertainment & Recreation,Fidelity Rewards Visa *4913,Apple,,-10.99,
2024-10-28,TRAX FARMS FINLEYVILLE PA,Shopping,Fidelity Rewards Visa *4913,Trax Farms Finleyville Pa,,-33.00,
2024-10-28,Aldi,Groceries,Fidelity Rewards Visa *4913,Aldi,,-107.46,
2024-10-28,Salems Market Centre Pittsburgh Pa,Restaurants & Bars,Fidelity Rewards Visa *4913,Salems Market Centre Pittsburgh Pa,,-29.94,
2024-10-28,Chick-Fil-A,Restaurants & Bars,Fidelity Rewards Visa *4913,Chick-fil-A,,-44.21,
2024-10-28,Rite Aid,Medical,Fidelity Rewards Visa *4913,Rite Aid,,-16.49,
2024-10-28,Salems Market & Pittsburgh Pa,Groceries,Fidelity Rewards Visa *4913,Salems Market & Pittsburgh Pa,,-10.69,
2024-10-28,Panera Bread,Restaurants & Bars,Fidelity Rewards Visa *4913,Panera Bread,,-75.91,
2024-10-25,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-58.34,
2024-10-25,Marathon,Gas,Fidelity Rewards Visa *4913,Marathon,,-4.28,
2024-10-25,Michaels,Fun Money,Fidelity Rewards Visa *4913,Michaels,,-17.03,
2024-10-25,Photography,Child Activities,Fidelity Rewards Visa *4913,Photography,,-27.82,
2024-10-24,Panera Bread,Restaurants & Bars,Fidelity Rewards Visa *4913,Panera Bread,,-14.18,
2024-10-24,GetGo,Gas,Fidelity Rewards Visa *4913,GetGo,,-43.51,
2024-10-24,ParkMobile,Parking & Tolls,Fidelity Rewards Visa *4913,ParkMobile,,-2.15,
2024-10-24,ParkMobile,Parking & Tolls,Fidelity Rewards Visa *4913,ParkMobile,,-2.15,
